Row,Emotional_Intensity,Emotion_Aversion,Harm,Self_Benefit,Other_Benefit,Premeditated,Illegality,Social_Norm_Violation,Socialness,Frequency,Personal_Familiarity,General_Familiarity,Morally_Appropriate
mean,4.32243589743589,3.84782051282052,3.50105769230769,3.96733974358974,3.15323717948718,4.50516025641026,2.8386858974359,4.13641025641026,5.25157051282051,4.1588141025641,2.37669871794872,3.7086858974359,3.83176282051282
stddev,1.0574657488512,1.05257090319175,1.34123621574098,0.969502403408738,1.57332637009071,1.06641682568907,1.48988852751355,1.4820571932275,0.806180712484359,0.79361688509881,0.792384626559989,0.764724186113372,1.58870041475681
min,1.77,1.6,1.3,1.53,1.2,1.63,1.13,1.27,2.43,1.97,1.23,2,1.3
max,6.63,6.47,6.07,5.87,6.57,6.53,6.73,6.47,6.57,6.03,5.47,5.77,6.83
nlow,59,61,68,50,33,62,21,67,52,56,43,53,56
nmid,204,196,185,208,213,197,233,194,226,205,221,210,187
nhigh,49,55,59,54,66,53,58,51,34,51,48,49,69
a,1.77,1.6,1.3,1.53,1.2,1.63,1.13,1.27,2.43,1.97,1.23,2,1.3
b,3.26327140733083,2.79355873158586,2.15766687884728,2.99627990559726,1.57738337584738,3.43703031021815,1.34640397315456,2.65197224687977,4.44409473008366,3.36392233008105,1.58304118353755,2.94273323794248,2.24051027493049
d,5.38160038754095,4.90208229405518,4.84444850576811,4.93839958158223,4.72909098312698,5.57329020260236,4.33096782171723,5.62084826594075,6.05904629555736,4.95370587504716,3.17035625235989,4.47463855692932,5.42301536609515
e,6.63,6.47,6.07,5.87,6.57,6.53,6.73,6.47,6.57,6.03,5.47,5.77,6.83
