QuestionID,Emotional_Intensity,Emotion_Aversion,Harm,Self_Benefit,Other_Benefit,Premeditated,Illegality,Social_Norm_Violation,Socialness,Frequency,Personal_Familiarity,General_Familiarity,Morally_Appropriate
1,2.50,2.50,2.83,4.83,1.57,4.20,4.83,4.07,2.63,5.40,3.43,4.77,3.13
2,5.73,4.30,2.07,3.40,5.67,5.37,1.87,1.83,5.83,3.37,1.70,2.67,5.93
3,5.73,4.13,3.83,5.00,2.87,5.57,1.97,4.43,5.90,3.27,1.53,2.73,3.20
4,4.57,5.17,4.30,3.97,2.40,5.23,6.40,5.67,5.53,4.73,1.90,3.97,2.10
5,4.27,5.07,2.90,2.90,1.77,4.83,4.03,5.60,4.30,5.20,2.67,4.43,2.77
6,3.37,2.63,3.47,5.43,2.40,5.00,4.80,5.53,5.03,4.67,1.80,3.90,2.23
7,5.00,3.87,5.23,4.57,2.67,4.80,2.13,5.63,6.03,5.07,2.73,4.90,2.43
8,3.63,3.33,4.37,4.33,2.67,5.67,6.03,5.90,5.07,4.70,2.37,4.03,1.80
9,5.00,4.77,4.53,3.80,2.03,4.07,4.67,5.47,5.63,4.37,2.17,3.63,2.73
10,6.43,6.47,4.50,1.53,1.53,1.63,2.03,3.37,5.77,3.17,1.27,3.20,4.03
11,4.30,4.37,4.17,4.90,4.23,5.40,4.77,5.27,5.77,4.47,2.53,3.83,2.30
12,3.33,3.70,3.60,2.77,2.10,4.73,1.77,3.90,5.77,5.47,3.23,4.43,3.77
13,4.00,2.40,1.50,3.10,5.30,3.27,1.47,1.83,5.43,4.30,3.27,4.57,5.97
14,4.57,3.80,5.07,5.53,1.97,5.40,5.63,5.83,5.60,4.27,1.73,3.20,1.80
15,4.60,5.00,4.20,3.30,2.17,3.60,5.10,5.10,4.90,4.53,2.27,4.23,2.97
16,4.57,4.70,4.27,3.03,1.73,2.73,1.40,4.30,5.53,3.20,2.33,2.83,3.73
17,4.83,3.70,5.33,4.80,2.30,3.23,2.27,5.83,6.13,4.97,2.47,5.17,2.17
18,4.37,4.00,4.77,5.13,1.63,5.80,1.67,5.20,5.57,3.87,1.73,3.00,2.97
19,4.27,4.40,4.13,3.43,1.90,3.90,5.70,5.43,4.67,4.83,1.87,3.90,2.33
20,5.83,4.53,1.90,3.27,5.30,3.53,1.37,1.67,5.70,4.27,2.47,3.83,6.33
21,4.13,3.53,4.60,2.53,1.93,3.77,3.83,5.07,4.93,2.47,1.57,2.23,2.43
22,3.70,3.70,4.37,4.83,1.70,4.40,6.10,5.60,3.83,3.77,1.73,3.33,2.13
23,2.70,3.23,3.50,4.90,1.83,4.10,2.80,5.20,5.40,4.57,2.37,3.50,2.80
24,6.03,5.57,4.80,4.40,2.33,5.53,2.50,3.73,5.20,4.67,1.53,4.20,4.13
25,5.63,5.53,5.30,2.17,1.70,2.50,1.93,4.80,5.93,5.30,4.07,4.63,3.20
26,2.47,2.20,1.60,3.80,4.97,3.47,1.20,1.77,4.80,3.87,3.80,4.47,6.53
27,5.13,5.17,4.57,2.83,2.10,2.80,4.07,5.07,5.43,5.27,3.40,5.17,2.87
28,5.57,5.40,4.37,4.20,2.93,4.77,2.40,4.17,5.70,4.63,1.57,4.37,3.73
29,4.03,2.70,3.07,4.87,5.57,6.07,4.93,4.13,6.07,3.50,1.57,2.97,4.20
30,3.03,2.60,4.03,5.33,1.53,2.90,3.77,4.80,5.17,5.00,2.73,4.37,2.90
31,4.93,4.47,4.73,2.47,1.43,2.40,2.87,5.60,5.33,3.50,2.03,3.27,2.13
32,4.43,2.93,2.10,3.13,4.10,5.00,1.57,2.30,2.73,3.17,2.63,3.40,5.77
33,2.73,2.10,2.20,5.17,3.87,4.80,3.30,4.07,4.83,5.80,3.77,5.37,3.77
34,2.67,1.97,1.33,3.03,5.87,4.20,1.13,1.40,4.73,3.73,3.10,4.30,6.67
35,6.53,5.17,1.57,4.00,6.30,5.83,1.33,1.43,6.00,5.23,2.60,4.53,6.57
36,2.90,1.90,1.33,2.90,5.97,2.83,1.70,1.33,5.60,4.13,3.53,4.03,6.73
37,2.73,3.30,4.10,4.77,1.97,6.27,2.67,4.83,6.00,5.67,4.10,4.70,3.13
38,3.57,2.53,1.57,3.57,6.13,2.47,1.40,1.30,5.67,4.03,3.63,4.37,6.83
39,3.17,2.73,4.67,4.50,1.80,5.93,3.37,5.43,5.60,5.70,2.93,5.17,2.30
40,5.33,3.23,1.53,3.83,6.57,5.67,1.37,1.53,5.87,4.60,2.40,4.27,6.43
41,5.20,5.23,5.50,1.97,1.57,3.23,2.47,5.90,5.97,5.30,2.83,4.43,1.97
42,5.00,4.13,4.57,4.40,3.23,4.77,3.77,5.93,5.93,3.53,1.63,3.37,2.07
43,3.37,3.33,2.03,3.57,2.97,5.17,2.13,2.73,4.17,4.90,2.67,4.30,5.07
44,4.23,4.07,4.17,3.83,2.23,4.13,6.03,5.50,4.90,4.60,2.03,3.73,2.03
45,5.73,5.63,4.80,4.37,3.53,5.40,2.53,4.23,5.90,4.73,1.53,4.47,3.80
46,5.57,3.87,5.93,4.70,2.30,5.33,3.73,6.33,6.43,4.93,1.90,4.00,1.80
47,2.60,2.27,1.50,3.07,6.07,3.50,1.23,1.53,5.10,3.73,2.97,3.83,6.57
48,4.60,4.00,2.70,4.70,5.60,1.90,1.90,2.23,5.60,3.27,1.90,3.37,6.33
49,4.93,5.30,5.93,2.20,1.20,3.90,6.50,6.40,5.83,4.43,1.80,3.80,1.30
50,4.73,3.73,5.70,4.23,2.10,5.10,2.50,6.40,6.37,4.90,2.03,4.17,1.73
51,3.97,3.23,2.80,3.90,2.93,3.07,3.30,4.07,4.27,3.97,2.40,3.43,4.27
52,3.53,3.30,3.20,4.80,1.77,4.57,5.20,5.53,4.50,2.70,1.43,2.43,2.03
53,4.83,3.03,1.37,3.03,5.50,2.47,1.37,1.70,5.23,4.43,4.23,4.27,6.33
54,4.57,4.03,2.77,4.93,2.17,2.47,2.77,3.40,3.17,2.90,1.80,3.03,4.67
55,4.23,3.87,4.50,3.03,1.57,2.67,1.97,4.00,5.27,5.30,4.30,4.83,3.53
56,6.00,4.47,5.73,4.43,2.13,5.80,3.70,6.40,6.43,4.77,1.80,4.03,1.73
57,4.93,4.13,5.40,3.67,1.97,4.30,2.10,5.60,6.00,4.47,2.23,4.10,2.10
58,2.40,2.13,3.23,5.20,1.50,3.20,3.60,3.97,3.30,4.57,3.27,4.47,3.70
59,4.53,5.23,3.10,2.80,1.63,3.87,5.70,5.43,3.10,4.13,2.03,3.50,2.63
60,4.93,4.33,5.20,2.67,1.47,3.33,1.90,5.37,5.70,3.70,2.07,3.40,2.07
61,5.07,2.70,1.80,3.23,5.63,4.30,1.67,2.00,5.83,2.80,1.43,2.30,6.03
62,5.37,4.00,5.20,4.37,2.67,5.13,3.80,6.40,5.90,4.80,1.70,4.20,1.60
63,4.53,4.63,3.40,4.27,3.93,5.17,4.33,4.30,4.67,2.77,1.50,2.47,4.10
64,3.07,2.43,1.47,3.10,5.87,3.23,1.20,1.57,4.97,3.17,3.10,4.00,6.67
65,5.97,5.00,6.07,4.00,2.03,5.67,2.23,6.17,6.17,5.23,2.27,4.70,1.80
