Row,Emotional_Intensity,Emotion_Aversion,Harm,Self_Benefit,Other_Benefit,Premeditated,Illegality,Social_Norm_Violation,Socialness,Frequency,Personal_Familiarity,General_Familiarity,Morally_Appropriate
mean,4.40333333333333,3.7125641025641,3.61871794871795,4.09692307692308,3.20076923076923,4.84230769230769,3.02384615384615,4.39205128205128,5.43487179487179,3.98410256410256,2.19897435897436,3.51666666666667,3.56153846153846
stddev,1.08137218938061,0.978910220730091,1.3388517458517,0.859054799142054,1.70298438587687,0.86892937820044,1.4644148483699,1.55003586308747,0.718516533702928,0.788343664318011,0.675147827580099,0.768539518471882,1.62170935215891
min,2.27,1.6,1.33,2.17,1.33,2.4,1.2,1.27,3.5,2.27,1.23,2,1.6
max,6.13,5.23,5.73,5.57,6.27,6.23,6.03,6.4,6.43,5.7,4.37,5.17,6.63
nlow,10,9,7,4,3,2,4,8,4,8,7,10,10
nmid,23,27,22,30,26,30,27,24,28,28,29,26,21
nhigh,6,3,10,5,10,7,8,7,7,3,3,3,8
a,1.77,1.6,1.3,1.53,1.2,1.63,1.13,1.27,2.43,1.97,1.23,2,1.3
b,3.26327140733083,2.79355873158586,2.15766687884728,2.99627990559726,1.57738337584738,3.43703031021815,1.34640397315456,2.65197224687977,4.44409473008366,3.36392233008105,1.58304118353755,2.94273323794248,2.24051027493049
d,5.38160038754095,4.90208229405518,4.84444850576811,4.93839958158223,4.72909098312698,5.57329020260236,4.33096782171723,5.62084826594075,6.05904629555736,4.95370587504716,3.17035625235989,4.47463855692932,5.42301536609515
e,6.63,6.47,6.07,5.87,6.57,6.53,6.73,6.47,6.57,6.03,5.47,5.77,6.83
