QuestionID,Emotional_Intensity,Emotion_Aversion,Harm,Self_Benefit,Other_Benefit,Premeditated,Illegality,Social_Norm_Violation,Socialness,Frequency,Personal_Familiarity,General_Familiarity,Morally_Appropriate
286,4.03,4.1,4.13,3.87,2.83,5.73,1.6,4.43,5.53,4.63,3.57,4.4,3.77
115,4.4,3.53,4.97,4.87,2.17,5.73,2.27,5.67,6.2,4.63,2.47,4.07,2.17
260,3.3,2.87,3.67,5.53,2.77,5.5,5.2,5.07,4.73,5.17,3.47,4.63,2.83
126,4.53,4.4,2.1,3.13,3.53,5.27,1.83,3.17,4.83,4.43,2.2,3.67,4.97
46,5.57,3.87,5.93,4.7,2.3,5.33,3.73,6.33,6.43,4.93,1.9,4,1.8
48,4.6,4,2.7,4.7,5.6,1.9,1.9,2.23,5.6,3.27,1.9,3.37,6.33
215,4.9,4.6,3.6,4.63,2.6,5.6,1.8,4.27,5.63,4.17,1.6,2.97,3.87
229,3.43,2.47,1.53,3.03,6.23,3.2,1.6,1.53,4.87,2.5,1.73,2.7,6.63
285,4.83,4.93,3.4,2,3.33,3.6,3.53,4.4,5.8,3.4,1.73,2.97,3.43
120,6.2,5.6,4.07,1.93,1.73,3.1,1.7,4.9,5.73,3.27,1.77,3.2,3.1
143,2.77,2.5,4.33,5.17,1.53,2.73,3.97,5.1,4.77,4.47,2.83,4.03,2.7
213,5.93,5.33,5.77,3.2,1.7,4.17,2.1,6.17,6.03,3.3,1.9,3.57,2.03
81,2.6,1.83,1.3,3.3,6.43,2.8,1.3,1.37,5.8,3.73,2.9,3.67,6.57
255,5,4.97,3.93,4.4,2.23,6.13,1.5,4.9,5.97,4.83,3.27,4.5,3.67
11,4.3,4.37,4.17,4.9,4.23,5.4,4.77,5.27,5.77,4.47,2.53,3.83,2.3
240,5.13,5,3.1,3.3,4.63,3.23,1.73,3.27,5.63,3.87,2.27,3.3,4.63
53,4.83,3.03,1.37,3.03,5.5,2.47,1.37,1.7,5.23,4.43,4.23,4.27,6.33
12,3.33,3.7,3.6,2.77,2.1,4.73,1.77,3.9,5.77,5.47,3.23,4.43,3.77
204,3.43,2.87,3.77,5.07,1.5,4.93,4.83,5.17,4.17,3.63,1.5,2.7,2.53
72,4.57,4.97,2.7,2.43,4.77,5.13,4.13,3.77,5.67,4.47,2.6,3.7,4.1
40,5.33,3.23,1.53,3.83,6.57,5.67,1.37,1.53,5.87,4.6,2.4,4.27,6.43
264,4.77,4.83,3.8,2.97,1.97,2.97,5.93,5.63,4.37,4.43,1.63,3.37,1.87
171,1.77,1.83,2.1,4.63,1.53,4.3,3.97,3.2,2.43,5.9,5,5.5,4.27
56,6,4.47,5.73,4.43,2.13,5.8,3.7,6.4,6.43,4.77,1.8,4.03,1.73
168,4,3.23,4.5,4.63,2.97,3.93,1.97,5.37,5.87,4.37,2.5,4.17,2.57
188,4.2,4.2,4,4.07,1.8,3.77,5.5,5.43,4.03,4.17,2.27,3.67,2.63
65,5.97,5,6.07,4,2.03,5.67,2.23,6.17,6.17,5.23,2.27,4.7,1.8
127,3.93,3.73,5.93,5.43,2.23,5.9,5.93,6.27,6.33,4.57,2.13,3.93,1.73
38,3.57,2.53,1.57,3.57,6.13,2.47,1.4,1.3,5.67,4.03,3.63,4.37,6.83
84,3.37,1.77,1.5,3.4,6.33,3.83,1.2,1.27,5.4,3.37,2.77,3.5,6.67
159,5.6,5.23,5.73,3.8,1.73,4.33,2.27,5.83,6.23,4.7,1.6,4.33,1.77
281,6.23,4.4,2.07,3.83,6.17,3.3,1.97,2.8,6.2,2.9,1.33,2.57,5.87
117,4.13,2.17,1.63,4.13,5.67,4.77,1.33,2.17,5.6,3.1,2.6,3.4,6.27
263,3.97,4.27,2.8,5.03,2.1,5.03,2.87,4.7,5.3,5.23,2.93,4.73,3.37
174,4.17,4.3,4.77,4.53,1.5,5.93,6.37,5.97,4.13,4.5,1.9,3.63,1.8
103,4.9,4.7,4.07,3.17,1.93,4.57,1.57,4.07,5.2,4.97,3.5,4.17,4
276,2.47,2.27,1.7,5.83,3.83,5.53,3.73,3.33,4.27,5,3,4.27,4.63
175,5.13,5.07,6.07,3.87,3.03,5.47,2.13,4.07,6.27,3.9,1.37,3.37,3.33
296,3.83,2.13,1.33,4.83,6.27,6.43,1.3,1.6,6.03,3.6,2.13,3.2,6.6
