QuestionID,Emotional_Intensity,Emotion_Aversion,Harm,Self_Benefit,Other_Benefit,Premeditated,Illegality,Social_Norm_Violation,Socialness,Frequency,Personal_Familiarity,General_Familiarity,Morally_Appropriate
63,4.53,4.63,3.4,4.27,3.93,5.17,4.33,4.3,4.67,2.77,1.5,2.47,4.1
235,3.23,3.43,2.73,4.87,1.63,2.6,3.77,5.17,3.87,4.93,3.37,5,2.4
113,6.03,5.87,4.87,2.97,1.87,2.57,1.6,4.67,5.83,4.7,2.8,4.5,2.87
122,3.53,3.2,3.67,5.07,3.37,5.53,2.87,5.13,5.5,5.23,2.9,4.97,2.77
44,4.23,4.07,4.17,3.83,2.23,4.13,6.03,5.5,4.9,4.6,2.03,3.73,2.03
249,6.2,3.4,1.6,4.6,6.37,6.53,1.37,1.67,6.57,4.07,1.77,3.77,6.7
209,5.03,4.5,2.87,5.13,5,5.73,1.8,2.77,5.73,4.4,2.3,3.43,5.5
224,4.93,4.83,3.3,3.37,2.77,4.87,1.77,3.47,5.03,5.03,3.57,4.63,4.47
246,5.97,4.7,1.87,3.43,6.13,4.17,1.23,1.47,6,3.8,2.43,3.37,6.6
16,4.57,4.7,4.27,3.03,1.73,2.73,1.4,4.3,5.53,3.2,2.33,2.83,3.73
294,2.1,1.8,1.4,2.83,5.93,3.03,1.3,1.77,5.43,3.23,2.73,3.43,6.37
167,4.77,4.77,4.5,2.33,1.83,2.27,1.43,4.47,5.53,5.4,4.8,5.5,3.47
239,4.7,3.7,2.93,5.83,1.77,6.5,2.3,3.67,4.63,4.3,1.6,3,4.53
180,3.93,3.63,2.23,3.27,6.17,5.4,3.03,3.57,6.13,2.63,1.53,2.47,4.87
32,4.43,2.93,2.1,3.13,4.1,5,1.57,2.3,2.73,3.17,2.63,3.4,5.77
189,3.63,2.97,5.53,2.53,1.6,2.77,2.57,5.1,5.6,4.57,3.3,3.93,2.43
58,2.4,2.13,3.23,5.2,1.5,3.2,3.6,3.97,3.3,4.57,3.27,4.47,3.7
54,4.57,4.03,2.77,4.93,2.17,2.47,2.77,3.4,3.17,2.9,1.8,3.03,4.67
171,1.77,1.83,2.1,4.63,1.53,4.3,3.97,3.2,2.43,5.9,5,5.5,4.27
90,2.5,1.67,1.53,3.13,5.9,2.6,1.2,1.3,5.43,4.07,3.47,3.87,6.7
96,3.03,2.77,3.93,5.13,1.53,3.83,5.6,5.3,3.87,4.9,2.73,4.53,2.73
81,2.6,1.83,1.3,3.3,6.43,2.8,1.3,1.37,5.8,3.73,2.9,3.67,6.57
119,4.7,4.47,4.3,2.7,1.57,5.33,6.03,6.07,4.3,4.33,1.3,3.2,1.63
121,4.3,3.43,5.2,5.3,1.5,4,5.37,5.7,5.6,4.33,2.1,4.03,1.97
223,4.27,3.5,2.07,3.4,2.67,4.47,1.6,2.37,5,4.7,2.57,4.07,5.53
38,3.57,2.53,1.57,3.57,6.13,2.47,1.4,1.3,5.67,4.03,3.63,4.37,6.83
259,5.1,4.93,4.5,4.5,2.23,3.67,5.37,5.27,5.67,2.7,1.33,2.27,2.73
241,5.77,4.87,4.3,3.9,4.97,3.47,2.7,3.57,5.9,3.8,2.17,3.37,4.93
195,5.17,2.8,1.47,3.5,5.83,5.17,1.73,2.33,5.6,2.8,1.73,2.6,5.67
65,5.97,5,6.07,4,2.03,5.67,2.23,6.17,6.17,5.23,2.27,4.7,1.8
237,4.63,4.33,3.3,4.33,3.9,5.23,1.63,2.7,5.7,4.27,3.33,3.97,5.83
86,4.87,3.87,5.63,4.23,1.63,5.37,2.47,6.2,6.23,4.83,2.47,4.2,1.57
182,2.53,2.2,1.47,3.03,5.27,2.7,1.43,1.53,3.97,2.57,1.8,2.5,6.5
109,3.13,3,1.7,2.4,5.9,5.23,1.63,2.03,5.53,5,4.07,5.03,6.23
166,4.1,4.17,3.93,3.33,4.57,4.93,5.33,5.1,5.27,3.2,1.37,2.47,2.73
306,5.1,3.13,5.97,4.9,2.23,5.7,2.1,6.1,6.37,3.37,1.63,2.83,1.57
261,3.9,3.93,5.2,4.97,1.7,2.9,5.57,5.7,5.47,5.3,3,4.53,1.8
284,3.83,3.67,5.23,3.63,1.67,5.07,2.13,5.73,5.87,3.27,1.63,2.77,2.33
69,3.87,2,1.33,4.2,6.33,6.3,1.17,1.5,6.3,5,3.47,4.97,6.47
