Row,Emotional_Intensity,Emotion_Aversion,Harm,Self_Benefit,Other_Benefit,Premeditated,Illegality,Social_Norm_Violation,Socialness,Frequency,Personal_Familiarity,General_Familiarity,Morally_Appropriate
mean,4.19205128205128,3.56974358974359,3.32153846153846,3.91538461538462,3.4774358974359,4.25333333333333,2.73589743589744,3.77538461538461,5.18717948717949,4.12384615384615,2.58025641025641,3.77897435897436,4.18897435897436
stddev,1.11640260058857,1.06132110991742,1.47103232278375,0.916265682424565,1.86931458431202,1.29147566826069,1.5615667969304,1.6357243297207,1.01064830352867,0.892600968603482,0.914236369535792,0.902389406170185,1.79038284814513
min,1.77,1.67,1.3,2.33,1.5,2.27,1.17,1.3,2.43,2.57,1.3,2.27,1.57
max,6.2,5.87,6.07,5.83,6.43,6.53,6.03,6.2,6.57,5.9,5,5.5,6.83
nlow,9,9,13,6,5,13,5,12,8,11,5,9,7
nmid,25,27,18,26,21,20,27,20,25,20,23,19,18
nhigh,5,3,8,7,13,6,7,7,6,8,11,11,14
a,1.77,1.6,1.3,1.53,1.2,1.63,1.13,1.27,2.43,1.97,1.23,2,1.3
b,3.26327140733083,2.79355873158586,2.15766687884728,2.99627990559726,1.57738337584738,3.43703031021815,1.34640397315456,2.65197224687977,4.44409473008366,3.36392233008105,1.58304118353755,2.94273323794248,2.24051027493049
d,5.38160038754095,4.90208229405518,4.84444850576811,4.93839958158223,4.72909098312698,5.57329020260236,4.33096782171723,5.62084826594075,6.05904629555736,4.95370587504716,3.17035625235989,4.47463855692932,5.42301536609515
e,6.63,6.47,6.07,5.87,6.57,6.53,6.73,6.47,6.57,6.03,5.47,5.77,6.83
